Name,Photo,URL,Submitted by,Why I like it,Welfie Teen Council,Associated with School / District,Sourced from (School Districts etc.),Jared's Rating,Jared's Review,Audrea's Review,Audrea's Rating copy,Elisabeth's Rating,Elisabeth's Review,Luis' Rating,Luis' Review,Jackie's Rating,Jackie's Review,Pam's Review,Pam's Rating,Susan's Review,Susan's Rating,Nneka's Review,Nneka's Ratings,Nicole's Review,Nicole's Rating,Gillians Rating,Gillian's Review,Teachers or Teens,Welfie Review,Welfie Rating,Letter Grade,Welfie Video Review,Their Featured Video,Type of Resources,Health Awareness Month,Medium(s),Social Media,Target Community,Target Audience,Commonly Used Language,Clinical Diagnosis (DSM-V),Type of Organization,Pricing Page,Pros,Cons,Affordability Rating,LGBTQ+ Friendly,Tech. Equity,Rated by Teens,Typeform rating,Racial/Ethnic Focus,Gender Focus,Geographic Focus,When to Use,Therapy Services,Health Service Providers,Emotional Wheel,Conflicts of Interest,ZIP,CITY,COUNTY,STATE,Type of Medicine,Approvals,Covered By,Similar to,Rate & Review URL,RATE ME,Finalized By,Created By,Last Modified By,Created Time,Presented by,FIND OUT MORE,Share,Share with a Friend,Vetted?,Health Ed,Lesson,Field 73,Personalize Form,Get Personal Health Content
National Alliance of Mental Illness,National_Alliance_on_Mental_Illness_-_Wikipedia (https://v5.airtableusercontent.com/v1/19/19/1689739200000/QQogtrm40I30YDJXxnMMDA/sFC2XRsjbp_4KyQmsNde8cxcfD-qYFyET63SMQg1Oo318BQdsVYn4gv27dwswFn_Va_zc3f9IhqPazQ7mNbU7SWd810Hvi6zEX8GYjdBd5h4wfpvSsIG5HlluGrvXc2y5NfGb7HYHm04FV0kxhgAWw/0Hx4M0gZUfSeS5VJEbg1YFpyDjnry_JWxMjkKnCYhc8),https://www.nami.org/home,Gillian Torza,,,,,,,,,,,,,,,"NAMI is a great information website. They also have chapters for each city, area or region. You can find local groups/chapters in your area for support. They offer information and research that supports their information. Additionally they have a crisis line. Not a telehealth platform. ",4,,,,,,,5,"This is a great, well-rounded resources. Whether you are looking to gain a better understanding of mental illnesses or to recieve help for a mental illness you are struggling with, this resource offers a wide range of information. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,"Website,Social Media","Facebook,Instagram,youtube","Family,School","Middle: 7-8,Highschool: 9-12,Young Adult: 17-21,Adult: 21+","Depression,eating disorder,Anxiety","ADHD,Obsessive Compulsive Disorder,Bipolar Disorder,Self-Harm",Non-profit,,"Equity Focused,Evidenced Based",On-line only,4,2,2,,,None,None,,"Preventive,Health Promotion",No,Not Applicable,,,22203,Arlington,,Virgina,Non-Pharmaceutical,,,,,,,sa as,WELFIE,7/8/2021 12:46 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.nami.org/home,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Go Ask Alice,James_Madison_University_-_The_Well_Resources (https://v5.airtableusercontent.com/v1/19/19/1689739200000/r9ev7-dMQsibO4zKSH7DrA/hujyMbtEy5LaIUfTAAJhxhn1FDBt0Gr24uLCKlS1J5odeUBBMFoQzsgPYKeWggLAIwxngvpuunyiw4dgUN-Ok2zdO29zcVz4LYQWoA1jBGbuSYe-YU_wroSHo1f6g6mDZUQvAeL0d2804dHSsveaIQ/w-yK_7S9wp91AgerGfW1NeJDaEIla_Fwa2XD5SQA2vE),https://goaskalice.columbia.edu/,Gillian Torza,,,Columbia University,,,,,,,,,,,,"Good resource for general emotional health. The information is backed by science and research. There are other sites that provide more information. This however has additional information about general health, sexual health, etc. The nice feature is that people have submitted questions in which you can browse for someone who is afraid to ask or having difficulty finding information but has a similar situation.",3,,,,,,,3,Ask Alice allows people to ask questions regarding a wide range of topics that is then asked by a group of health professionals from Columbia University. It is a great place to when wanting more information about what you might be going through.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Website,,School,Young Adult: 17-21,"Mental Health,Depression",,Non-profit,,"Equity Focused,Young Adult Focused","On-line only,English Only",4,2,2,,,None,None,Urban,"Preventive,Health Promotion",No,Not Applicable,,,,New York,,New York,Non-Pharmaceutical,,,,,,,sa as,WELFIE,7/8/2021 2:24 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://goaskalice.columbia.edu/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Dlc Anxiety,DLC_Anxiety_worldwide_community_support (https://v5.airtableusercontent.com/v1/19/19/1689739200000/9yg7nN7LFb1JNFjBiSLzVA/qn2EfnL8BbCjyl_jZ4WrqLRu1F64wc0Y4Oh2qN4bgFBfSFXyDG1XycqRCI1UNVU3Y58uQeAPX8WUZFw-di8a2TUW9CZj7VdRo2e5NGnQ_zRVhay8Wr2k0bEI4WZwS336/X6OpwZ7ld7cK-4ShVwG7QnDeHjHPx_Z2zq0ISslZI6U),https://www.instagram.com/dlcanxiety/,Gillian Torza,,,,,,,,,,,5,I think that many people get their information now in days from social media so an account like this one is very helpful especially to teenagers with anxiety as they might spend a lot of their time on their phone.,,,,,,,,,,,4,"This Instagram page offers an abundance of information regarding anxiety, including coping mechanisms. The posts are short and visually appealing. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Social Media,Instagram,Adolescents,"Highschool: 9-12,Young Adult: 17-21",Anxiety,,,,"Young Adult Focused,Evidenced Based","On-line only,English Only",,2,1,,,None,None,,Health Promotion,No,Not Applicable,,,,,,,,,,,,,,sa as,Luis Garcia,7/8/2021 2:43 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.instagram.com/dlcanxiety/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
What is Mental Illness,Top_125_Mental_Health_Instagram_Influencers_most_followed_in_2021 (https://v5.airtableusercontent.com/v1/19/19/1689739200000/yc7V5b_LZU-uwB5sC1-NGA/mNk5ljgts_ryO8bmbD-56He1mTZe8jnmGgRXd6VBd4pzwZA56bFDXQQ11d_54LpNoMLARQGFQCZGSen_jfA1EFugo-02DYjIEmTTFhm5mvWK_6m7Lh7pIT8Eu3Zrs7msNsmLkvi6zhidniaEXYGCdJj5OvjgG5oXl4__Cse6Hhc/wJM5j9gY7yAiiuPWCwNnXwc5506sBNYGon9OkeAlqlQ),https://www.instagram.com/what.is.mental.illness/,Gillian Torza,,,,,,,,,,,,,,,,,,,,,,,4,This Instagram page creates content about a wide range of mental health issues and tries to reduce the stigma that revolves around them.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Social Media,Instagram,Adolescents,"Highschool: 9-12,Middle: 7-8","Anxiety,Depression","General Anxiety Disorder,Bipolar Disorder,ADHD,Obsessive Compulsive Disorder",,,Young Adult Focused,"On-line only,English Only",4,3,1,,,None,None,,Health Promotion,No,Not Applicable,,,,,,,,,,,,,,sa as,WELFIE,7/8/2021 2:48 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.instagram.com/what.is.mental.illness/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Dr. Julie Smith,Dr_Julie_Smith_(Dr_Julie_Smith)__Twitter (https://v5.airtableusercontent.com/v1/19/19/1689739200000/u03c3mY5RzDiFZjOeCX7Yw/KH11orMCT3K6w8mbbPs6svYxJFg_bMDoHAIQu_WYAlCWjvyR22OXNY9aXrt1ucXIS7VDwsURI3LynfhIMznlBy5EHMC5SW2eDEyoRhV5NU-WiczyVKl5pLtOLfZ3ODKn/yLB1SL6ty-i9BMP5BcEH4w6kupulfIRSF9GBXhsao1Q),https://www.instagram.com/drjulie/,Gillian Torza,,,,,,,,,,,,,,,,,,,,,,,4,"This Instagram page is run by Psychologist Dr. Julie Smith, and she creates content about mental health issues with the lense of a licensed professional. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Social Media,"Instagram,TikTok",Adolescents,"Highschool: 9-12,Middle: 7-8","Mental Health,stress,Anxiety,Depression",,,,Young Adult Focused,"On-line only,English Only",4,2,1,,,None,None,,Health Promotion,No,Not Applicable,,,,,,,,,,,,,,sa as,WELFIE,7/8/2021 2:54 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.instagram.com/drjulie/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
The Mini ADHD Coach,the_mini_adhd_coach_on_Twitter_Thanks_for_100K_on_Instagram_... (https://v5.airtableusercontent.com/v1/19/19/1689739200000/eJcLY-h_z3O5O2OhdE2w7Q/3eZRc1IwIhizkZVh_i1_32ViD5NwXDx6hCtGgseQCwuaHLkkli5y9BSHzoJxQTpRIs0LAdiFWkZ-Z2Mlpx9nbDteNM_xojKt-l3PA_Tsiy3bY8HSyr-avb6Xjkp9e_ieZ03IA2x3CdOnEw-IFL9HOh_ZZnCIuGmelvzxeiCyF0s/C72LIXUQtKrWHs4Dn9XsRErQ4WcFude36SPOe_U9c5Y),https://www.instagram.com/the_mini_adhd_coach/,Gillian Torza,,,,,,,,,,,4,The cartoons on this page are very welcoming and very straight forward. They do a great job providing information while remaining simple.,,,,,,,,,,,4,"This Instagram page deals with ADHD and the many symptoms that may come with the illness.
",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Social Media,Instagram,Adolescents,"Middle: 7-8,Highschool: 9-12",,ADHD,,,Young Adult Focused,"On-line only,English Only",4,2,1,,,None,None,,Health Promotion,No,Not Applicable,,,,,,,,,,,,,,sa as,Luis Garcia,7/8/2021 3:08 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.instagram.com/the_mini_adhd_coach/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Project Healthy Minds,Resources_-- (https://v5.airtableusercontent.com/v1/19/19/1689739200000/N89qWtX0XV52Jk3P9FL1Pg/2hXGOeY5OC3k8K-Q_gLMGrFSK44Ai4enW0B2dskFJDZZBPmdQcHw1mKDFWLUL-wSh_Wl0WbDJb7EO0ZBWcvsUIR419528791EO2d2L7qVpM/8pbVlJGjckkBXSKxIm-H7iuWEODSaoqNJkUaugt8vBk),https://www.projecthealthyminds.com/,Gillian Torza,,,,,,,,,,,,,,,,,,,,,,,4,This website offers different resources and information to address the growing problem of the rise of mental health issues in America. It is a good place to start looking about mental health issues.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Website,Instagram,"Adolescents ,Community Based Organizations","Highschool: 9-12,Young Adult: 17-21,Middle: 7-8","Mental Health,Depression","Suicide Attempts,Anxiety,Depression,Bipolar Disorder",Non-profit,,"Equity Focused,Evidenced Based,Young Adult Focused",On-line only,4,4,2,,,None,None,,"Preventive,Health Promotion",No,Not Applicable,,,,New York,,New York,,,,National Alliance of Mental Illness,,,,sa as,WELFIE,7/9/2021 11:04 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.projecthealthyminds.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Hope Bound,Hopebound (https://v5.airtableusercontent.com/v1/19/19/1689739200000/-wMGrzGKf-iddZ-KKvBLWQ/fJ4Rzx1dID-yVsULey7f1Ed69oTShf33KwtEV2BTGokXNwIAtVwr1-t8ThLNR4WeNTJfnGDeWHiqY4GqdxHU3pCXqBLVMKiGlQbh-UTD5KQ/UBRdiVY-zaWew5xgPJY_YnsW8Vyl5LwkuwLgQlnJSFg),https://www.hopebound.com/,Gillian Torza,,,,,,,,,,,,,,,,,,,,,,,4,"Although parents have to sign up their children, this website offers low-cost virtual mental health services. ",,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Website,"Facebook,Instagram",Adolescents,"Highschool: 9-12,Middle: 7-8","Mental Health,Anxiety,Depression",,Non-profit,,"Equity Focused,Family Centric",On-line only,4,2,3,,,None,None,,"Preventive,Health Promotion",Yes,Therapists,,,,Atlanta,,Georgia,Non-Pharmaceutical,,,,,,,sa as,WELFIE,7/9/2021 11:14 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.hopebound.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Klick Engage,KlickEngage (https://v5.airtableusercontent.com/v1/19/19/1689739200000/HuEzuWJnH48NhvZHYkpRQw/rVzIHHhFzx2K9Q_EGFEL7slFbWRo5q37Q4enZ29Y-uhI21jIB2vVSLAprJtETxTKrNcnO4t4PXVGjcGwQ9W4yuNiQ2y7b3CHpUGTTPomcbk/9DGy56FPFZe-hCdfvRPWimKFgZyon0tPE9xQ-qWoBJI),https://www.klickengage.com/,Gillian Torza,,,,,,,,,,,,,,,,,,,,,,,5,This resource allows teacher to receive a snapshot into their students' feelings and how to best handle what they are feeling in that given day.,Teachers,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,"Website,Web-App,Mobile App","Instagram,Facebook",School,Elementary: 1-5,Mental Health,,For Profit,https://www.klickengage.com/request-a-demo,"Evidenced Based,Equity Focused",On-line only,4,1,2,,,None,None,,Health Promotion,No,Not Applicable,,,,,,,,Accredited Crisis Center,,,,,,sa as,WELFIE,7/9/2021 11:32 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.klickengage.com/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Teen Line,Teen_Line_Helping_Teens_in_Crisis_-_MissionBox (https://v5.airtableusercontent.com/v1/19/19/1689739200000/-Vm9DRtrNWFAn66Mjejqkg/YmCvZdlf89M1m-yQcRvQM3DTy1RyQq8gWCVMPiOod7FL3gPcN47j5_TXbYCw0N4641VCdmuqAl0X25xaVZHYt1U7Ap1QDPkbvNbLNesCdxFtbIRwaQj3N_LTctq5TN3K3F6dm6QVD8betYvybnrGZQ/fImbqCDrJRsBfkktV2LCBkuMAlg-1JExpCL_qp7eWH0),https://teenlineonline.org/,Gillian Torza,,,,,,,,,4,I love that this resource focuses specifically on teens' mental health. It allows teens to reach out other teens anonymously - this can be quite beneficial as teens feel that they're more understood and heard by those close to their age.,,,,,,,,,,,,,4,This resource is great for someone looking to be able to talk to another peer about what they are going through. There are multiple ways for a person to use the teen line such as over the phone or by text which allows the conversation to be on the person seeking help terms.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,"Website,SMS,Mobile App","Instagram,Facebook,youtube",Adolescents,"Middle: 7-8,Highschool: 9-12,Young Adult: 17-21","Mental Health,Anxiety,Depression",,Non-profit,,"Equity Focused,Young Adult Focused",,4,4,2,,,None,All of the above,,"Health Promotion,Preventive",No,Not Applicable,"Sad,Bad",,,,,,,,,,,,,sa as,Elisabeth R Vermeulen,7/9/2021 11:45 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://teenlineonline.org/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
The Truth Doctor,The_Truth_Doctor_Podcast_-_Podcast_-_Podtail (https://v5.airtableusercontent.com/v1/19/19/1689739200000/0ok_gotOvtpW9KmmofOUEA/bkTpDeo23csufD_JMmV3MT2i5b7_M4q-jnKxmyrQepKPQuPBrMclZmYXpchP0iKN4n1rcBwbvweB60KS2yNfnxPpYyk76mD5VII14l_oltMPmxPM0EQI7bkF8GjgOHAek3mR9s8FIcipOJvVlCisjA/JKqo08PGhMAARryVEUIsPCrk7hzop-is4LbhPrI0-Vg),https://www.instagram.com/the.truth.doctor/,Gillian Torza,,,,,,,,,,,,,,,She provides very insightful information about common disorders. She also has information about relationships and being open about her anxiety and challenges in her relationship. She does,4,,,,,,,4,Dr. Tracy offers a lot of information regarding a wide range of mental health issues as well as being very candid about her own struggles.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Social Media,"Instagram,TikTok,podcast",Adolescents,"Middle: 7-8,Highschool: 9-12,Young Adult: 17-21","Mental Health,Anxiety,Depression,eating disorder",,,,"Evidenced Based,Patient Focused","On-line only,English Only",4,3,2,,,None,None,,Health Promotion,No,Not Applicable,,,,,,,,,,,,,,sa as,WELFIE,7/9/2021 11:52 AM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.instagram.com/the.truth.doctor/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Victoria Garrick,Victoria_Garrick_(victoriagarrick)__Twitter (https://v5.airtableusercontent.com/v1/19/19/1689739200000/lzmBuezHp5Fb7hFATlGzFg/4KV1ZisV3c-zaxdnz_ezXMDdVBP0T8xv-DyRoOfitnz9Fz36QMKgdUwirmMSteOgkhDX8SZhKmmEv1jNOYyN7gYvcI5oGdSvxxVo7D0Dtle6-oi2NGgvyUpePwpC0IeCUmp9HTiFEyyGWUGj1_UJ3A/2d4WYOVqIfENXtWO-HJlo0KCspi17f5AmpWCoEF6gnQ),https://www.instagram.com/victoriagarrick/,Gillian Torza,,,,,,,,,,,,,,,,,,,,,,,4,Victoria Garrick offers a very candid perspective about body image issues. She talks about the struggles about self image that she went through as a D1 athlete and how she overcame them.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Social Media,"Instagram,TikTok,podcast",Adolescents,"Middle: 7-8,Highschool: 9-12,Young Adult: 17-21","Mental Health,eating disorder","Body Dysphoria,Anxiety",,,Young Adult Focused,"On-line only,English Only",4,2,2,,,None,None,,Health Promotion,No,Not Applicable,,,,,,,,,,,,,,sa as,WELFIE,7/9/2021 12:02 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.instagram.com/victoriagarrick/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
Nedra Glover Tawwab,How_Boundaries_Can_Save_Your_Relationships_with_Nedra_Glover_... (https://v5.airtableusercontent.com/v1/19/19/1689739200000/1np_O91rBhIPeWR717_6yQ/sCwFfrMTyTDTvjtHFf1iudEaLLsQWj-6QGiecZI0c408HftkWAGnwEmSI9KMsbkDrhmTb-8fcGfV0-iQq_Sl98UJu-YTYtWsSyMiXout90K7usf1g1in2mJu_h1cpqskQhbCjP2pFOi2MIs8_QVW_bE_SpaiMhFLkCgLBhuxW_U/lUtpmWiCULUPeTLEkXdzeFGzUMsHIngpa8R741Go-Ws),https://www.instagram.com/nedratawwab/,Gillian Torza,,,,,,,,,,,,,,,,,,,,,,,4,Nedra Tawwab posts a lot of affirmations and things to remember as someone recovering or struggling with a mental illness.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Social Media,Instagram,Family,"Highschool: 9-12,Young Adult: 17-21,Adult: 21+",Mental Health,,,,Evidenced Based,"On-line only,English Only",4,1,1,,,None,None,,Health Promotion,No,Not Applicable,,,,,,,,,,,,,,sa as,WELFIE,7/9/2021 2:10 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.instagram.com/nedratawwab/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
My Wellbeing,MyWellbeing_(findmywellbeing)__Twitter (https://v5.airtableusercontent.com/v1/19/19/1689739200000/MGaN7-vQ7xpB8AONV9pV6Q/tui6nnlQy1TjsWdMgMN6oeHnbejVkDQAZrmzpubPuLhRMLnPhUwOTAmLpu_2VyD7D1_GwpvK88FJ51PphpOS6bXl5GUj0mMT8b97EgsOPBNGxdX1_ewJlwzZwkyF769D/4fNZ-R6cgAu-JMs3Da-z_AMq_aa4amD0-puxzD4-wS0),https://www.instagram.com/findmywellbeing/,Gillian Torza,,,,,,,,,,,,,,,,,,,,,,,5,This Instagram page offers information regarding different mental health issues as well promotes different therapists and helps people along the process of finding the right therapist.,,"We plan to provide expert reviews about this mental health resource here. This is a temporary place holder.
",,,,,Digital,,Social Media,Instagram,Family,"Highschool: 9-12,Young Adult: 17-21,Adult: 21+","Mental Health,Anxiety",General Anxiety Disorder,,,Patient Focused,On-line only,4,2,1,,,None,None,,Health Promotion,Yes,Therapists,,,,,,,,,,,,,,sa as,WELFIE,7/9/2021 2:15 PM,welfie-green.png (https://v5.airtableusercontent.com/v1/19/19/1689739200000/dsbcUfVN4cgPlxrO07AAVQ/sASM2eS_rxf-U-C8zQwSFT41WjYWii0l1T9_Ykjg8RGeK0130TayGjmlHU43f0kljBbCm1bxWFbmcjiGI0V3mwUvSDSG9bAcM6NxDNlx7ww/jUJfFy0aG1mL8Pv-yRrsq7ifp-vz36YYWvLgSAbb0gA),https://www.instagram.com/findmywellbeing/,https://welfie.typeform.com/to/fI4Rlemr,https://welfie.typeform.com/to/fI4Rlemr,NOT YET,,,,https://welfie.typeform.com/to/FfIibrMT,https://welfie.typeform.com/to/FfIibrMT
